#type	ID	chr	strand	e1	e2	e3	(e4)
Cas	chr21:+:POTED:RefSeq_tri174770:v1	chr21	+	14982498:14983070	14987444:14987558	14987718:14987891	NM_174981:1-3:1826,	POTED,
CAS	chr21:-:ATP5J:RefSeq_tri176594:v1	chr21	-	27107798:27107965	27101942:27102112	27097537:27097661	NM_001003697:1-3:662,	ATP5J,
A3ss	chr21:+:DYRK1A:RefSeq_A3SS0100:v1	chr21	+	38844986:38845182	38850483:38850602	38850510:38850602
#Cas	chr21:+:POTED:RefSeq_tri174770*:v1	chr21	+	14982498:14983070	14987718:14987891	14987444:14987558	NM_174981:1-3:1826,	POTED,
CAS	chr21:+:NDUFV3:RefSeq_tri175364:v1	chr21	+	44317037:44317157	44323292:44324386	44328974:44329773	NM_021075:2-4:2130,	NDUFV3,
SPR	chr21:-:U2AF1:RefSeq_tri175957:v1	chr21	-	44524425:44524512	44521476:44521542	44520563:44520629	NM_001025204:2-4:1020,	U2AF1,
CAS	chr21:-:PIGP:RefSeq_tri176225:v1	chr21	-	38441852:38441924	38439562:38439680	38437664:38438012	NM_153682:3-5:804,NM_153681:2-4:911,	PIGP,
CAS	chr21:-:ATP5O:RefSeq_tri176278:v1	chr21	-	35284593:35284703	35281386:35281515	35279645:35279757	NM_001697:3-5:806,	ATP5O,
CAS	chr21:-:APP:RefSeq_tri176579:v1	chr21	-	27394156:27394358	27372330:27372497	27354657:27354790	NM_001204302:6-8:3522,NM_001136016:6-8:3557,NM_201413:6-8:3576,	APP,
CAS	chr21:-:APP:RefSeq_tri176581:v1	chr21	-	27372330:27372497	27369675:27369731	27354657:27354790	NM_001204301:7-9:3579,NM_000484:7-9:3633,NM_001136130:6-8:3465,	APP,

