#ID	chr	strand	C1Start	C1End	AStart	AEnd	C2Start	C2End	trans_ID:exon#:trans_length	genes
chr21:+:POTED:RefSeq_tri174770:v1	chr21	+	14982498	14983070	14987444	14987558	14987718	14987891	NM_174981:1-3:1826,	POTED,
chr21:+:POTED:RefSeq_tri174771:v1	chr21	+	14987444	14987558	14987718	14987891	14990670	14990776	NM_174981:2-4:1826,	POTED,
chr21:+:POTED:RefSeq_tri174772:v1	chr21	+	14987718	14987891	14990670	14990776	14992479	14992616	NM_174981:3-5:1826,	POTED,
chr21:+:POTED:RefSeq_tri174773:v1	chr21	+	14990670	14990776	14992479	14992616	14995126	14995196	NM_174981:4-6:1826,	POTED,
chr21:+:POTED:RefSeq_tri174774:v1	chr21	+	14992479	14992616	14995126	14995196	15000703	15000773	NM_174981:5-7:1826,	POTED,
chr21:+:POTED:RefSeq_tri174775:v1	chr21	+	14995126	14995196	15000703	15000773	15002177	15002221	NM_174981:6-8:1826,	POTED,
chr21:+:POTED:RefSeq_tri174776:v1	chr21	+	15000703	15000773	15002177	15002221	15003262	15003428	NM_174981:7-9:1826,	POTED,
chr21:+:POTED:RefSeq_tri174777:v1	chr21	+	15002177	15002221	15003262	15003428	15011836	15011959	NM_174981:8-10:1826,	POTED,
chr21:+:POTED:RefSeq_tri174778:v1	chr21	+	15003262	15003428	15011836	15011959	15013666	15013906	NM_174981:9-11:1826,	POTED,
chr21:+:RBM11:RefSeq_tri174779:v1	chr21	+	15588466	15588603	15591884	15592046	15593418	15593490	NM_144770:1-3:1967,	RBM11,
chr21:+:RBM11:RefSeq_tri174780:v1	chr21	+	15591884	15592046	15593418	15593490	15596759	15596858	NM_144770:2-4:1967,	RBM11,
chr21:+:RBM11:RefSeq_tri174781:v1	chr21	+	15593418	15593490	15596759	15596858	15599201	15600693	NM_144770:3-5:1967,	RBM11,
chr21:+:USP25:RefSeq_tri174782:v1	chr21	+	17102496	17102757	17135210	17135287	17138316	17138460	NM_013396:1-3:4968,	USP25,
chr21:+:USP25:RefSeq_tri174783:v1	chr21	+	17135210	17135287	17138316	17138460	17150223	17150346	NM_013396:2-4:4968,	USP25,
chr21:+:USP25:RefSeq_tri174784:v1	chr21	+	17138316	17138460	17150223	17150346	17163821	17163983	NM_013396:3-5:4968,	USP25,
chr21:+:USP25:RefSeq_tri174785:v1	chr21	+	17150223	17150346	17163821	17163983	17172076	17172162	NM_013396:4-6:4968,	USP25,
chr21:+:USP25:RefSeq_tri174786:v1	chr21	+	17163821	17163983	17172076	17172162	17177440	17177577	NM_013396:5-7:4968,	USP25,
chr21:+:USP25:RefSeq_tri174787:v1	chr21	+	17172076	17172162	17177440	17177577	17181128	17181204	NM_013396:6-8:4968,	USP25,
chr21:+:USP25:RefSeq_tri174788:v1	chr21	+	17177440	17177577	17181128	17181204	17183456	17183529	NM_013396:7-9:4968,	USP25,
chr21:+:USP25:RefSeq_tri174789:v1	chr21	+	17181128	17181204	17183456	17183529	17191017	17191165	NM_013396:8-10:4968,	USP25,
chr21:+:USP25:RefSeq_tri174790:v1	chr21	+	17183456	17183529	17191017	17191165	17196358	17196485	NM_013396:9-11:4968,	USP25,
chr21:+:USP25:RefSeq_tri174791:v1	chr21	+	17191017	17191165	17196358	17196485	17197285	17197380	NM_013396:10-12:4968,	USP25,
chr21:+:USP25:RefSeq_tri174792:v1	chr21	+	17196358	17196485	17197285	17197380	17198523	17198684	NM_013396:11-13:4968,	USP25,
chr21:+:USP25:RefSeq_tri174793:v1	chr21	+	17197285	17197380	17198523	17198684	17199296	17199522	NM_013396:12-14:4968,	USP25,
chr21:+:USP25:RefSeq_tri174794:v1	chr21	+	17198523	17198684	17199296	17199522	17202850	17202920	NM_013396:13-15:4968,	USP25,
chr21:+:USP25:RefSeq_tri174795:v1	chr21	+	17199296	17199522	17202850	17202920	17203720	17203948	NM_013396:14-16:4968,	USP25,
chr21:+:USP25:RefSeq_tri174796:v1	chr21	+	17202850	17202920	17203720	17203948	17205667	17205867	NM_013396:15-17:4968,	USP25,
chr21:+:USP25:RefSeq_tri174797:v1	chr21	+	17203720	17203948	17205667	17205867	17214717	17214859	NM_013396:16-18:4968,	USP25,
chr21:+:USP25:RefSeq_tri174798:v1	chr21	+	17205667	17205867	17214717	17214859	17236587	17236765	NM_013396:17-19:4968,	USP25,
chr21:+:USP25:RefSeq_tri174799:v1	chr21	+	17214717	17214859	17236587	17236765	17238585	17238663	NM_013396:18-20:4968,	USP25,
chr21:+:USP25:RefSeq_tri174800:v1	chr21	+	17236587	17236765	17238585	17238663	17242387	17242466	NM_013396:19-21:4968,	USP25,
chr21:+:USP25:RefSeq_tri174801:v1	chr21	+	17238585	17238663	17242387	17242466	17246722	17246845	NM_013396:20-22:4968,	USP25,
chr21:+:USP25:RefSeq_tri174802:v1	chr21	+	17242387	17242466	17246722	17246845	17250115	17250310	NM_013396:21-23:4968,	USP25,
chr21:+:USP25:RefSeq_tri174803:v1	chr21	+	17246722	17246845	17250115	17250310	17250622	17252377	NM_013396:22-24:4968,	USP25,
chr21:+:CXADR:RefSeq_tri174804:v1	chr21	+	18885224	18885490	18919345	18919511	18924067	18924271	NM_001207066:1-3:1669,NM_001207064:1-3:5323,NM_001207063:1-3:5479,NM_001338:1-3:5741,	CXADR,
chr21:+:CXADR:RefSeq_tri174805:v1	chr21	+	18885224	18885490	18919345	18919511	18937746	18942429	NM_001207065:1-3:5118,	CXADR,
chr21:+:CXADR:RefSeq_tri174806:v1	chr21	+	18919345	18919511	18924067	18924271	18931294	18931449	NM_001207066:2-4:1669,NM_001207063:2-4:5479,NM_001338:2-4:5741,	CXADR,
